timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, HANDOVER_RIGHT
1.6449324298901617e+18,frame_11111.jpeg,5870.0,51.0,-5139.0,1
1.6449324299419953e+18,frame_11112.jpeg,6541.0,-203.0,-4748.0,1
1.6449324299934705e+18,frame_11113.jpeg,6794.0,-433.0,-5146.0,1
1.6449324300424054e+18,frame_11114.jpeg,6385.0,-313.0,-4486.0,1
1.6449324300904993e+18,frame_11115.jpeg,6454.0,-501.0,-4905.0,1
1.6449324301434207e+18,frame_11116.jpeg,6380.0,-274.0,-4650.0,1
1.644932430191391e+18,frame_11117.jpeg,5944.0,-440.0,-4765.0,1
1.6449324302456947e+18,frame_11118.jpeg,6553.0,-693.0,-4782.0,1
1.6449324302917727e+18,frame_11119.jpeg,6266.0,-1015.0,-5120.0,1
1.6449324303427597e+18,frame_11120.jpeg,6264.0,-1296.0,-5091.0,1
1.6449324303955492e+18,frame_11121.jpeg,5977.0,-1264.0,-5018.0,1
1.64493243044148e+18,frame_11122.jpeg,5851.0,-1403.0,-5151.0,1
1.6449324304950298e+18,frame_11123.jpeg,5696.0,-1409.0,-5393.0,1
1.6449324305400812e+18,frame_11124.jpeg,6250.0,-1509.0,-5068.0,1
1.6449324305954803e+18,frame_11125.jpeg,5784.0,-1390.0,-5183.0,1
1.6449324306413473e+18,frame_11126.jpeg,5716.0,-1183.0,-5105.0,1
1.6449324306969667e+18,frame_11127.jpeg,6349.0,-1418.0,-5108.0,1
1.644932430747416e+18,frame_11128.jpeg,6285.0,-1436.0,-5316.0,1
1.644932430796764e+18,frame_11129.jpeg,5596.0,-1046.0,-5224.0,1
1.6449324308460137e+18,frame_11130.jpeg,5558.0,-663.0,-5113.0,1
1.6449324308963814e+18,frame_11131.jpeg,5682.0,-1024.0,-5656.0,1
1.644932430945403e+18,frame_11132.jpeg,5596.0,-955.0,-5479.0,1
1.6449324309959078e+18,frame_11133.jpeg,6262.0,-1022.0,-5133.0,1
1.6449324310445693e+18,frame_11134.jpeg,5941.0,-1222.0,-5427.0,1
1.6449324310952645e+18,frame_11135.jpeg,5563.0,-646.0,-5366.0,1
1.6449324311439844e+18,frame_11136.jpeg,5411.0,-779.0,-5872.0,1
1.6449324311944753e+18,frame_11137.jpeg,5178.0,-904.0,-6010.0,1
1.6449324312445832e+18,frame_11138.jpeg,5631.0,-1241.0,-5906.0,1
1.6449324312960717e+18,frame_11139.jpeg,6359.0,-707.0,-5735.0,1
