timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, IDLE
1.6449324207842455e+18,frame_10929.jpeg,-3554.0,5050.0,5698.0,1
1.644932420830093e+18,frame_10930.jpeg,-3619.0,5007.0,5823.0,1
1.6449324208862996e+18,frame_10931.jpeg,-3606.0,4911.0,5890.0,1
1.6449324209323028e+18,frame_10932.jpeg,-3569.0,4856.0,5846.0,1
1.644932420983794e+18,frame_10933.jpeg,-3553.0,4708.0,5889.0,1
1.6449324210326625e+18,frame_10934.jpeg,-3552.0,4662.0,5979.0,1
1.6449324210840655e+18,frame_10935.jpeg,-3540.0,4609.0,6029.0,1
1.6449324211294098e+18,frame_10936.jpeg,-3676.0,4687.0,6066.0,1
1.6449324211805821e+18,frame_10937.jpeg,-3748.0,4610.0,6034.0,1
1.644932421232159e+18,frame_10938.jpeg,-3746.0,4616.0,5876.0,1
1.644932421283747e+18,frame_10939.jpeg,-3680.0,4449.0,6199.0,1
1.6449324213330335e+18,frame_10940.jpeg,-3466.0,4417.0,6271.0,1
1.644932421380555e+18,frame_10941.jpeg,-3549.0,4430.0,6300.0,1
1.6449324214321132e+18,frame_10942.jpeg,-1727.0,4569.0,3706.0,1
1.644932421487085e+18,frame_10943.jpeg,3778.0,6484.0,831.0,1
1.6449324215335603e+18,frame_10944.jpeg,6920.0,2257.0,9996.0,1
1.6449324215841457e+18,frame_10945.jpeg,7273.0,-2262.0,15387.0,1
1.6449324216315958e+18,frame_10946.jpeg,3389.0,299.0,10990.0,1
1.6449324216667845e+18,frame_10947.jpeg,3041.0,911.0,10184.0,1
1.6449324217124001e+18,frame_10948.jpeg,2769.0,1556.0,9420.0,1
1.6449324217816138e+18,frame_10949.jpeg,2194.0,2818.0,8441.0,1
1.6449324218118907e+18,frame_10950.jpeg,1829.0,3776.0,7786.0,1
1.6449324218118907e+18,frame_10951.jpeg,1829.0,3776.0,7786.0,1
1.6449324219837678e+18,frame_10952.jpeg,1786.0,4043.0,7506.0,1
1.6449324219837678e+18,frame_10953.jpeg,1786.0,4043.0,7506.0,1
1.644932422040434e+18,frame_10954.jpeg,1788.0,4207.0,7278.0,1
1.644932422040434e+18,frame_10955.jpeg,1788.0,4207.0,7278.0,1
1.6449324221312172e+18,frame_10956.jpeg,1794.0,4329.0,7102.0,1
1.644932422188098e+18,frame_10957.jpeg,2170.0,4472.0,6424.0,1
1.6449324222306342e+18,frame_10958.jpeg,3008.0,4154.0,6420.0,1
1.644932422284114e+18,frame_10959.jpeg,3720.0,4431.0,5975.0,1
1.6449324223354583e+18,frame_10960.jpeg,3612.0,4501.0,6069.0,1
1.6449324223835674e+18,frame_10961.jpeg,3546.0,4417.0,6053.0,1
1.644932422440365e+18,frame_10962.jpeg,3560.0,4474.0,5970.0,1
1.6449324224840084e+18,frame_10963.jpeg,3575.0,4547.0,5983.0,1
1.6449324225371174e+18,frame_10964.jpeg,3519.0,4551.0,5991.0,1
1.644932422585409e+18,frame_10965.jpeg,3550.0,4553.0,6033.0,1
1.6449324226370378e+18,frame_10966.jpeg,3582.0,4568.0,6002.0,1
1.644932422686131e+18,frame_10967.jpeg,3542.0,4511.0,6005.0,1
1.6449324227343524e+18,frame_10968.jpeg,3497.0,4559.0,5977.0,1
1.6449324227857132e+18,frame_10969.jpeg,3489.0,4542.0,6091.0,1
1.644932422835555e+18,frame_10970.jpeg,3516.0,4596.0,5981.0,1
1.6449324228854584e+18,frame_10971.jpeg,3529.0,4529.0,6012.0,1
1.6449324229335283e+18,frame_10972.jpeg,3539.0,4546.0,6013.0,1
1.644932422985026e+18,frame_10973.jpeg,3495.0,4577.0,5986.0,1
1.6449324230398295e+18,frame_10974.jpeg,3631.0,4581.0,6013.0,1
1.6449324230848748e+18,frame_10975.jpeg,3603.0,4577.0,6010.0,1
1.6449324231361093e+18,frame_10976.jpeg,3564.0,4601.0,5893.0,1
1.6449324231864492e+18,frame_10977.jpeg,3633.0,4601.0,5887.0,1
1.644932423235996e+18,frame_10978.jpeg,3569.0,4611.0,5868.0,1
1.6449324232856663e+18,frame_10979.jpeg,3542.0,4641.0,5791.0,1
1.64493242333556e+18,frame_10980.jpeg,3741.0,4571.0,6012.0,1
1.6449324233847227e+18,frame_10981.jpeg,3701.0,4678.0,5908.0,1
1.6449324234340864e+18,frame_10982.jpeg,3601.0,4601.0,5802.0,1
1.6449324234846282e+18,frame_10983.jpeg,3726.0,4693.0,5843.0,1
1.6449324235378586e+18,frame_10984.jpeg,3752.0,4674.0,5730.0,1
1.6449324235815877e+18,frame_10985.jpeg,3721.0,4621.0,5699.0,1
1.644932423635962e+18,frame_10986.jpeg,3825.0,4652.0,5759.0,1
1.6449324236820032e+18,frame_10987.jpeg,3765.0,4678.0,5701.0,1
1.644932423733814e+18,frame_10988.jpeg,3794.0,4658.0,5828.0,1
1.6449324237857871e+18,frame_10989.jpeg,3836.0,4603.0,5821.0,1
1.6449324238350298e+18,frame_10990.jpeg,3764.0,4545.0,5818.0,1
1.6449324238904586e+18,frame_10991.jpeg,3795.0,4624.0,5792.0,1
1.6449324239378757e+18,frame_10992.jpeg,3826.0,4695.0,5735.0,1
1.6449324239887145e+18,frame_10993.jpeg,3785.0,4746.0,5621.0,1
1.6449324240384704e+18,frame_10994.jpeg,3964.0,4886.0,5669.0,1
1.6449324240850885e+18,frame_10995.jpeg,3717.0,4786.0,5776.0,1
1.6449324241372938e+18,frame_10996.jpeg,3649.0,4851.0,5746.0,1
1.644932424188132e+18,frame_10997.jpeg,3576.0,4968.0,5676.0,1
1.6449324242384417e+18,frame_10998.jpeg,3736.0,5130.0,5390.0,1
1.644932424288007e+18,frame_10999.jpeg,3717.0,5244.0,5110.0,1
1.6449324243391037e+18,frame_11000.jpeg,3595.0,5500.0,5075.0,1
1.644932424389159e+18,frame_11001.jpeg,3733.0,5278.0,5106.0,1
1.644932424438906e+18,frame_11002.jpeg,4009.0,5003.0,4938.0,1
1.6449324244868076e+18,frame_11003.jpeg,4557.0,5502.0,4711.0,1
1.6449324245370998e+18,frame_11004.jpeg,4491.0,5704.0,3957.0,1
1.644932424579899e+18,frame_11005.jpeg,4524.0,5409.0,3500.0,1
1.644932424607906e+18,frame_11006.jpeg,4546.0,5376.0,3450.0,1
1.6449324246893038e+18,frame_11007.jpeg,4585.0,5334.0,3415.0,1
1.6449324247338975e+18,frame_11008.jpeg,5409.0,6299.0,3763.0,1
1.6449324247863613e+18,frame_11009.jpeg,4406.0,5955.0,4194.0,1
1.6449324248360735e+18,frame_11010.jpeg,4569.0,5849.0,3932.0,1
1.6449324248847892e+18,frame_11011.jpeg,4694.0,5332.0,3706.0,1
1.6449324249355866e+18,frame_11012.jpeg,4535.0,5207.0,3072.0,1
1.6449324249825828e+18,frame_11013.jpeg,4443.0,5802.0,3012.0,1
1.644932425036612e+18,frame_11014.jpeg,4434.0,5880.0,3023.0,1
1.6449324250958976e+18,frame_11015.jpeg,4423.0,6018.0,3053.0,1
1.644932425134496e+18,frame_11016.jpeg,4355.0,6212.0,3286.0,1
1.6449324251890606e+18,frame_11017.jpeg,4495.0,6129.0,3466.0,1
1.6449324252333532e+18,frame_11018.jpeg,4386.0,6067.0,3484.0,1
1.6449324252857436e+18,frame_11019.jpeg,4506.0,6087.0,3948.0,1
1.6449324253379753e+18,frame_11020.jpeg,4053.0,6064.0,4070.0,1
1.644932425389169e+18,frame_11021.jpeg,3659.0,6111.0,3948.0,1
1.6449324254344438e+18,frame_11022.jpeg,3896.0,6194.0,3692.0,1
1.6449324254879726e+18,frame_11023.jpeg,3885.0,6134.0,3483.0,1
1.6449324255420398e+18,frame_11024.jpeg,3556.0,6143.0,2743.0,1
1.6449324255856983e+18,frame_11025.jpeg,3913.0,6593.0,2417.0,1
1.644932425638679e+18,frame_11026.jpeg,4302.0,7144.0,2044.0,1
1.6449324256858383e+18,frame_11027.jpeg,3993.0,7057.0,2098.0,1
1.6449324257410212e+18,frame_11028.jpeg,3610.0,6868.0,2088.0,1
1.6449324257858642e+18,frame_11029.jpeg,3362.0,6591.0,1842.0,1
1.644932425842522e+18,frame_11030.jpeg,3418.0,6651.0,1934.0,1
1.644932425896703e+18,frame_11031.jpeg,3755.0,7314.0,2558.0,1
1.644932425939365e+18,frame_11032.jpeg,4166.0,7886.0,3092.0,1
1.6449324259910474e+18,frame_11033.jpeg,2776.0,7608.0,2663.0,1
1.6449324260403955e+18,frame_11034.jpeg,2868.0,6850.0,2073.0,1
1.6449324260808543e+18,frame_11035.jpeg,3648.0,6849.0,2193.0,1
1.6449324261124672e+18,frame_11036.jpeg,3707.0,6888.0,2194.0,1
1.6449324262255206e+18,frame_11037.jpeg,3750.0,6922.0,2191.0,1
1.6449324262255206e+18,frame_11038.jpeg,3750.0,6922.0,2191.0,1
1.6449324262736128e+18,frame_11039.jpeg,3783.0,6965.0,2174.0,1
